"Time (EpSec)","x (km)","y (km)","z (km)"
2313,-3674.846677549,42003.689729014,0.000000000
2314,-3674.846677549,42003.689729014,0.000000000
2315,-3674.846677549,42003.689729014,0.000000000
2316,-3674.846677549,42003.689729014,0.000000000
2317,-3674.846677549,42003.689729014,0.000000000
2318,-3674.846677549,42003.689729014,0.000000000
2319,-3674.846677549,42003.689729014,0.000000000
2320,-3674.846677549,42003.689729014,0.000000000
2321,-3674.846677549,42003.689729014,0.000000000
2322,-3674.846677549,42003.689729014,0.000000000
2323,-3674.846677549,42003.689729014,0.000000000
2324,-3674.846677549,42003.689729014,0.000000000
2325,-3674.846677549,42003.689729014,0.000000000
2326,-3674.846677549,42003.689729014,0.000000000
2327,-3674.846677549,42003.689729014,0.000000000
2328,-3674.846677549,42003.689729014,0.000000000
2329,-3674.846677549,42003.689729014,0.000000000
2330,-3674.846677549,42003.689729014,0.000000000
2331,-3674.846677549,42003.689729014,0.000000000
2332,-3674.846677549,42003.689729014,0.000000000
2333,-3674.846677549,42003.689729014,0.000000000
2334,-3674.846677549,42003.689729014,0.000000000
2335,-3674.846677549,42003.689729014,0.000000000
2336,-3674.846677549,42003.689729014,0.000000000
2337,-3674.846677549,42003.689729014,0.000000000
2338,-3674.846677549,42003.689729014,0.000000000
2339,-3674.846677549,42003.689729014,0.000000000
2340,-3674.846677549,42003.689729014,0.000000000
2341,-3674.846677549,42003.689729014,0.000000000
2342,-3674.846677549,42003.689729014,0.000000000
2343,-3674.846677549,42003.689729014,0.000000000
2344,-3674.846677549,42003.689729014,0.000000000
2345,-3674.846677549,42003.689729014,0.000000000
2346,-3674.846677549,42003.689729014,0.000000000
2347,-3674.846677549,42003.689729014,0.000000000
2348,-3674.846677549,42003.689729014,0.000000000
2349,-3674.846677549,42003.689729014,0.000000000
2350,-3674.846677549,42003.689729014,0.000000000
2351,-3674.846677549,42003.689729014,0.000000000
2352,-3674.846677549,42003.689729014,0.000000000
2353,-3674.846677549,42003.689729014,0.000000000
2354,-3674.846677549,42003.689729014,0.000000000
2355,-3674.846677549,42003.689729014,0.000000000
2356,-3674.846677549,42003.689729014,0.000000000
2357,-3674.846677549,42003.689729014,0.000000000
2358,-3674.846677549,42003.689729014,0.000000000
2359,-3674.846677549,42003.689729014,0.000000000
2360,-3674.846677549,42003.689729014,0.000000000
2361,-3674.846677549,42003.689729014,0.000000000
2362,-3674.846677549,42003.689729014,0.000000000
2363,-3674.846677549,42003.689729014,0.000000000
2364,-3674.846677549,42003.689729014,0.000000000
2365,-3674.846677549,42003.689729014,0.000000000
2366,-3674.846677549,42003.689729014,0.000000000
2367,-3674.846677549,42003.689729014,0.000000000
2368,-3674.846677549,42003.689729014,0.000000000
2369,-3674.846677549,42003.689729014,0.000000000
2370,-3674.846677549,42003.689729014,0.000000000
2371,-3674.846677549,42003.689729014,0.000000000
2372,-3674.846677549,42003.689729014,0.000000000
2373,-3674.846677549,42003.689729014,0.000000000
2374,-3674.846677549,42003.689729014,0.000000000
2375,-3674.846677549,42003.689729014,0.000000000
2376,-3674.846677549,42003.689729014,0.000000000
2377,-3674.846677549,42003.689729014,0.000000000
2378,-3674.846677549,42003.689729014,0.000000000
2379,-3674.846677549,42003.689729014,0.000000000
2380,-3674.846677549,42003.689729014,0.000000000
2381,-3674.846677549,42003.689729014,0.000000000
2382,-3674.846677549,42003.689729014,0.000000000
2383,-3674.846677549,42003.689729014,0.000000000
2384,-3674.846677549,42003.689729014,0.000000000
2385,-3674.846677549,42003.689729014,0.000000000
2386,-3674.846677549,42003.689729014,0.000000000
2387,-3674.846677549,42003.689729014,0.000000000
2388,-3674.846677549,42003.689729014,0.000000000
2389,-3674.846677549,42003.689729014,0.000000000
2390,-3674.846677549,42003.689729014,0.000000000
2391,-3674.846677549,42003.689729014,0.000000000
